rank,term,count
1,niêm mạc,31339
2,thâm nhiễm,11145
3,hẹp,10470
4,lòng phế quản,10434
5,mạch,9841
6,đỏ,9741
7,bề mặt,9068
8,lòng,8891
9,biểu,8655
10,dày,8275
11,màu,8034
12,đều,7964
13,bất thường,7939
14,bình thường,6871
15,quản,6168
16,máu,6138
17,nổi,5993
18,đồng,5892
19,phế,5659
20,tăng,4590
21,thu,4574
22,kèm,4369
23,đường,4360
24,sinh,4355
25,thở,4242
26,tổn thương,4228
27,carina,4089
28,dịch tiết bất thường,3934
29,nhất,3707
30,khí,3684
31,trung,3657
32,phù,3571
33,lồi,3561
34,hẹp lòng phế quản,3525
35,hợp,3325
36,tâm,3299
37,gồ,3201
38,khối u,3026
39,diện,2930
40,khối,2791
41,trực,2737
42,quanh,2572
43,tiếp,2530
44,chất,2301
45,nhìn,2150
46,sẫm,2134
47,phù nề,2119
48,dạng,2105
49,dịch,2101
50,tiết,1978
51,dịch tiết,1889
52,bật,1874
53,đổi,1834
54,dây thanh,1818
55,toàn,1709
56,dấu,1605
57,chỉ,1550
58,vẻ,1528
59,khe,1476
60,hoàn,1469
61,thái,1443
62,cùng,1442
63,đục,1441
64,khu,1371
65,tương,1362
66,hiệu,1336
67,trắng,1285
68,nhạt,1281
69,vàng,1264
70,hồng,1252
71,đối,1203
72,khảo,1166
73,xung huyết,1164
74,nhô,1158
75,cấu,1156
76,trúc,1152
77,kính,1106
78,khẩu,1103
79,biến,1102
80,lỗ,1077
81,thông,1057
82,làm,1047
83,sưng,1041
84,nhỏ,1005
85,trú,978
86,hai,970
87,phủ,936
88,mủ,922
89,xem,897
90,phế quản gốc trái,889
91,phải,873
92,ống,861
93,xung,845
94,đặc,842
95,nhẵn,835
96,phế quản thùy trên phải,823
97,rất,816
98,chiếm,812
99,sắc,799
100,mang,741
101,nhẹ,736
102,tố,734
103,màu sắc,733
104,gần,723
105,phế quản trung gian,688
106,trái,683
107,mở,672
108,bên,671
109,phế quản thùy giữa phải,639
110,mảng,629
111,trạng,593
112,ghề,591
113,phế quản thùy dưới trái,591
114,xuất,569
115,đọng,566
116,hoặc,561
117,nề,553
118,phế quản thùy trên trái,543
119,phế quản thùy dưới phải,539
120,phân,535
121,phía,509
122,thoáng,504
123,trông,494
124,bám,492
125,hơn,488
126,bằng,480
127,mức,462
128,rệt,459
129,dưới,445
130,đánh,437
131,sáng,430
132,nâu,430
133,ứng,429
134,trơn,420
135,liệt,419
136,ràng,409
137,tối,406
138,thùy,405
139,khung,404
140,vực,393
141,phế quản gốc phải,384
142,định,367
143,thay,356
144,anthracotic,348
145,đỉnh,347
146,nhiễm,347
147,tươi,341
148,nằm,309
149,26–50,307
150,giảm,293
151,điểm,280
152,gây,279
153,bít,273
154,51–75,271
155,khác,257
156,chứa,256
157,thanh,256
158,chính,254
159,thành,252
160,nếp,251
161,lớn,247
162,môn,241
163,tạo,239
164,thời,231
165,khoảng,224
166,mạo,219
167,kín,218
168,tập,213
169,gồm,211
170,ngoài,209
171,khoanh,208
172,che,203
173,ép,191
174,độ,181
175,tổng,180
176,xứng,180
177,lớp,179
178,đáng,175
179,kể,175
180,xám,174
181,phản,174
182,phế quản phân thùy lưỡi trái,173
183,giá,172
184,giả,169
185,mạc,169
186,mỏng,164
187,vị,163
188,trí,163
189,nhánh,162
190,loang,161
191,bóng,161
192,cục,156
193,mạng,154
194,do,152
195,teo,152
196,cận,151
197,tròn,149
198,76–90,148
199,sạch,146
200,vẫn,140
201,đen,136
202,gợi,135
203,huyết,134
204,chỗ,133
205,động,129
206,đi,127
207,nghiêm,126
208,trọng,126
209,sung,125
210,lân,125
211,cuống,123
212,láng,121
213,cảnh,119
214,không cuống,115
215,0–25,115
216,đè,112
217,hơi,112
218,thấp,112
219,chứng,111
220,nền,110
221,bộ,107
222,lấp,107
223,trường,101
224,cam,101
225,lổ,98
226,rộng,96
227,chung,96
228,vì,94
229,cân,93
230,bất,91
231,kết,90
232,liên,90
233,hỗn,88
234,loét,88
235,tụ,85
236,bọt,85
237,lan,84
238,tỏa,77
239,đại,76
240,phồng,75
241,tổ,74
242,chức,74
243,thuộc,71
244,gấp,65
245,chèn,63
246,ngà,63
247,vận,63
248,kém,62
249,vậy,60
250,cạnh,57
251,đoạn,56
252,trắng-vàng,55
253,bao,55
254,ướt,54
255,dải,52
256,cả,52
257,đám,51
258,đặn,51
259,bờ,51
260,giữa,49
261,tâm-trái,49
262,tâm-phải,49
263,tư,48
264,cao,46
265,nửa,45
266,xanh,43
267,biệt,39
268,vừa,38
269,đầy,37
270,dọc,37
271,đó,36
272,xét,36
273,khít,34
274,quang,34
275,mức độ hẹp,33
276,gian,33
277,để,32
278,phối,31
279,tình,30
280,lệch,30
281,chiếu,29
282,mạnh,29
283,nhưng,28
284,dụng,27
285,cụ,27
286,kế,26
287,vàng-trắng,26
288,tưới,26
289,phẳng,26
290,đủ,24
291,chảy,23
292,bố,23
293,ẩm,23
294,xơ,23
295,sẹo,23
296,khuất,22
297,giới,22
298,tục,22
299,vòng,21
300,tả,21
301,nối,20
302,nông,20
303,đốm,20
304,giống,19
305,lỏng,19
306,viền,19
307,nặng,18
308,lối,18
309,ranh,18
310,dài,17
311,xen,17
312,tím,17
313,giọt,17
314,ba,17
315,kích,17
316,thước,17
317,vật,17
318,kéo,17
319,âm,16
320,ước,16
321,tắc,16
322,nguyên,16
323,nhân,16
324,khiến,15
325,vocal,15
326,cord,15
327,other,15
328,thưa,15
329,25–49,15
330,đáp,15
331,giữ,14
332,đen-xám,14
333,lõm,14
334,xoắn,14
335,trở,14
336,lượng,13
337,tính,13
338,nêu,13
339,chít,13
340,cản,13
341,thường,12
342,loại,12
343,đậm,12
344,vệt,12
345,có cuống,12
346,gốc,12
347,khá,12
348,chia,11
349,nhầy,11
350,sần,10
351,thô,10
352,cụm,10
353,bình,9
354,đỏ-trắng,9
355,rải,9
356,rác,9
357,đôi,9
358,pha,8
359,duy,8
360,trì,8
361,cơ,8
362,luận,8
363,nhau,8
364,đông,8
365,thương,8
366,mờ,8
367,số,8
368,co,8
369,đạt,8
370,dẫn,7
371,lộ,7
372,mềm,7
373,mảnh,7
374,chấm,7
375,hạn,7
376,chế,7
377,lấn,7
378,hết,7
379,vượt,6
380,dự,6
381,kiến,6
382,hệ,6
383,ấn,6
384,tượng,6
385,bảo,6
386,tồn,6
387,xám-nâu,6
388,vi,6
389,kiểu,6
390,vón,6
391,mất,6
392,sụn,6
393,mật,5
394,chủ,5
395,yếu,5
396,miệng,5
397,chưa,5
398,giác,5
399,hướng,5
400,nghẽn,5
401,vài,4
402,lingula,4
403,choán,4
404,sở,4
405,hồng-nâu,4
406,thị,4
407,màng,4
408,bình-nặng,4
409,trục,4
410,trên-trái,4
411,nốt,4
412,ngoại,4
413,cảm,4
414,ngã,4
415,ngoằn,4
416,ngoèo,4
417,nhuyễn,4
418,lốm,4
419,nham,4
420,nhở,4
421,tâm–phía,4
422,liền,4
423,phát,3
424,từng,3
425,lổn,3
426,nhổn,3
427,trợt,3
428,נראה,3
429,hiển,3
430,dù,3
431,thân,3
432,áp,3
433,loãng,3
434,tâm-bên,3
435,trưng,3
436,hồng-đỏ,3
437,nhợt,3
438,xanh-đen,3
439,trachea,3
440,chi,2
441,bầu,2
442,dục,2
443,phạm,2
444,cực,2
445,lóe,2
446,cong,2
447,đơn,2
448,sợi,2
449,vân,2
450,ửng,2
451,đỏ-vàng,2
452,nhạt-trắng,2
453,quả,2
454,ánh,2
455,nét,2
456,đẩy,2
457,box,2
458,vàng-xanh,2
459,tâm-phía,2
460,chiều,2
461,hội,2
462,dưới-bên,2
463,sau,2
464,dưới-phải,2
465,thuôn,2
466,hồng-tím,2
467,giàu,2
468,xếp,2
469,lưới,2
470,xám-trắng,2
471,khoang,2
472,gắn,2
473,thiểu,2
474,dễ,2
475,hóa,2
476,xa,2
477,vặn,2
478,hạ,2
479,dây,2
480,giáp,1
481,lóa,1
482,cần,1
483,ráp,1
484,quán,1
485,tâm-dưới,1
486,đạo,1
487,thẫm,1
488,căn,1
489,cứ,1
490,sùi,1
491,thuần,1
492,khẳng,1
493,lởm,1
494,chởm,1
495,mucosa,1
496,triển,1
497,vàng-đỏ,1
498,biên,1
499,bộc,1
500,tiêu,1
501,chí,1
502,đích,1
503,يظهر,1
504,oval,1
505,dính,1
506,lập,1
507,đan,1
508,trắng-xám,1
509,hữu,1
510,lần,1
511,lượt,1
512,terlihat,1
513,tâm-hiện,1
514,vụn,1
515,lẻ,1
516,kẽ,1
517,tâm-lệch,1
518,xám-đen,1
519,ngay,1
520,ngang,1
521,lumen,1
522,khuyết,1
523,nhóm,1
524,lưu,1
525,nút,1
526,rãnh,1
527,phổi,1
528,polyp,1
529,tam,1
530,kỳ,1
531,hầu-thanh,1
532,góc,1
533,liệu,1
534,lấm,1
535,tấm,1
536,chừa,1
537,trọn,1
538,vẹn,1
539,khô,1
540,xẹp,1
541,câu,1
542,trả,1
543,lời,1
544,đỏ-nâu,1
545,evidence,1
546,ổn,1
547,lánh,1
548,tách,1
549,hầu,1
550,dần,1
551,khuôn,1
552,quá,1
553,méo,1
554,chói,1
555,giải,1
556,phẫu,1
557,main,1
558,dẹt,1
559,tỷ,1
560,lệ,1
561,sáng-trắng,1
562,cửa,1
563,múi,1
564,trước,1
565,cô,1
