rank,term,count
1,bất thường,15068
2,bình thường,6401
3,xem,6042
4,diện,1877
5,dịch tiết,1501
6,tỷ,1402
7,lệ,1402
8,định,1395
9,thuộc,1346
10,loại,1309
11,khoảng,1279
12,hẹp lòng phế quản,1208
13,thái,1204
14,dấu,1110
15,hiệu,1098
16,mức,1095
17,biểu,1020
18,độ,994
19,dịch tiết bất thường,949
20,quản,864
21,hẹp,850
22,dây thanh,783
23,niêm mạc,770
24,phế,708
25,đặc,614
26,dạng,597
27,phế quản thùy trên phải,572
28,điểm,568
29,phế quản thùy giữa phải,481
30,nằm,478
31,nguyên,424
32,nhân,424
33,tả,410
34,bề mặt,407
35,phế quản thùy dưới phải,392
36,phế quản thùy dưới trái,383
37,phế quản thùy trên trái,375
38,phế quản gốc trái,365
39,trái,342
40,lòng,331
41,mức độ hẹp,315
42,thùy,313
43,phế quản trung gian,312
44,phân,308
45,liệt,301
46,carina,294
47,đỉnh,273
48,xuất,269
49,khí,260
50,trạng,257
51,lòng phế quản,235
52,tình,215
53,sao,176
54,gây,174
55,phế quản gốc phải,174
56,xếp,157
57,tăng,150
58,sinh,150
59,mạch,150
60,màu,146
61,phải,141
62,nhẵn,139
63,phế quản phân thùy lưỡi trái,136
64,cơ,126
65,chế,126
66,khối u,122
67,khảo,113
68,toàn,101
69,chính,95
70,hoặc,92
71,đánh,85
72,bộ,76
73,giá,73
74,vị,72
75,trí,72
76,giải,68
77,thích,68
78,thay,57
79,đổi,56
80,kết,51
81,thu,50
82,tính,45
83,luận,41
84,bên,40
85,chất,37
86,tổng,33
87,đạt,31
88,nhóm,29
89,đường,27
90,thở,27
91,liên,27
92,tổn thương,24
93,xét,24
94,hoàn,24
95,màu sắc,23
96,phát,23
97,nêu,22
98,chỉ,19
99,nhìn,19
100,giữa,18
101,chiếm,18
102,bao,17
103,nhiêu,17
104,phù,17
105,hợp,17
106,dưới,15
107,mang,15
108,hãy,14
109,trăm,13
110,gồm,11
111,quả,10
112,sau,7
113,âm,7
114,đáng,7
115,chú,7
116,tương,7
117,ứng,7
118,nổi,7
119,bật,7
120,đúng,6
121,đối,6
122,mặt,6
123,chọn,6
124,dựa,6
125,lingula,6
126,trường,6
127,quy,5
128,khu,5
129,vực,5
130,lựa,5
131,trung,5
132,cần,5
133,khoanh,5
134,khung,5
135,do,5
136,cụ,4
137,đoạn,4
138,giữ,3
139,vẻ,3
140,phản,3
141,ánh,3
142,chỗ,3
143,liệu,3
144,tâm,3
145,chứa,3
146,hai,3
147,đâu,2
148,gian,2
149,coi,2
150,giới,2
151,hạn,2
152,bộc,2
153,lộ,2
154,bằng,2
155,cấu,2
156,trúc,2
157,yếu,2
158,tố,2
159,chứ,2
160,thanh,2
161,môn,2
162,nhất,2
163,chia,1
164,vì,1
165,trực,1
166,kê,1
167,ước,1
168,lần,1
169,chứng,1
170,chụp,1
171,phủ,1
172,phạm,1
173,vi,1
174,cùng,1
175,cảnh,1
176,hệ,1
177,điều,1
178,hữu,1
179,phép,1
180,biết,1
181,kiểu,1
182,đi,1
183,kèm,1
184,gắn,1
185,thị,1
186,khẩu,1
187,kính,1
